transition,k,singular_value,normalized
L27_to_L28,84,91.27163696289062,0.0320548452436924
L27_to_L28,85,86.3540267944336,0.03032776527106762
L27_to_L28,86,84.38768005371094,0.029637180268764496
L27_to_L28,87,83.46537017822266,0.029313262552022934
L27_to_L28,88,78.057861328125,0.02741413004696369
L27_to_L28,89,76.16802978515625,0.026750417426228523
L27_to_L28,90,74.89659118652344,0.026303883641958237
L27_to_L28,91,73.1006088256836,0.02567313052713871
L27_to_L28,92,71.98583221435547,0.025281617417931557
L27_to_L28,93,69.55715942382812,0.024428661912679672
L27_to_L28,94,67.48320770263672,0.023700283840298653
L27_to_L28,95,64.48470306396484,0.022647200152277946
L27_to_L28,96,62.226768493652344,0.021854208782315254
L27_to_L28,97,61.545867919921875,0.021615074947476387
L27_to_L28,98,60.05571365356445,0.021091727539896965
L27_to_L28,99,58.52546691894531,0.020554300397634506
L28_to_L29,0,37512044.0,1.0
L28_to_L29,1,6353340.5,0.16936801373958588
L28_to_L29,2,2426213.25,0.06467824429273605
L28_to_L29,3,1947190.25,0.051908399909734726
L28_to_L29,4,1186906.5,0.0316406786441803
L28_to_L29,5,842876.25,0.02246948331594467
L28_to_L29,6,597430.125,0.015926355496048927
L28_to_L29,7,274410.6875,0.007315268740057945
L28_to_L29,8,212735.109375,0.005671114660799503
L28_to_L29,9,80373.7734375,0.0021426125895231962
L28_to_L29,10,70880.1640625,0.0018895308021456003
L28_to_L29,11,52142.7890625,0.0013900279300287366
L28_to_L29,12,47596.63671875,0.0012688360875472426
L28_to_L29,13,43573.3671875,0.0011615833500400186
L28_to_L29,14,38574.26171875,0.0010283166775479913
L28_to_L29,15,33216.44140625,0.000885487359482795
L28_to_L29,16,29845.228515625,0.0007956172339618206
L28_to_L29,17,29527.041015625,0.0007871349807828665
L28_to_L29,18,27646.771484375,0.0007370105595327914
L28_to_L29,19,23603.62890625,0.0006292280158959329
L28_to_L29,20,23103.466796875,0.0006158946198411286
L28_to_L29,21,21624.564453125,0.0005764699308201671
L28_to_L29,22,19050.140625,0.0005078406538814306
L28_to_L29,23,18798.064453125,0.0005011207540519536
L28_to_L29,24,18134.4375,0.00048342972877435386
