consequence,layer,n,mean_delta_h,median_delta_h,std_delta_h
splice,1,704,0.18161635100841522,0.1821645200252533,0.020226554945111275
splice,2,704,0.2155134081840515,0.21010807156562805,0.03961918503046036
splice,3,704,0.2518874406814575,0.24142472445964813,0.06855728477239609
splice,4,704,0.37944525480270386,0.36109933257102966,0.11810926347970963
splice,5,704,0.485929399728775,0.4895284175872803,0.14347904920578003
splice,6,704,0.7544674277305603,0.7253106236457825,0.29447922110557556
splice,7,704,1.0662299394607544,0.9702544808387756,0.5221611857414246
splice,8,704,1.208402156829834,1.0974311828613281,0.6037945747375488
splice,9,704,1.4985954761505127,1.4381844997406006,0.6792188286781311
splice,10,704,1.8472962379455566,1.7848619222640991,0.8461204171180725
splice,11,704,2.1449460983276367,2.1127474308013916,1.0050268173217773
splice,12,704,2.3284502029418945,2.293001413345337,1.0865983963012695
splice,13,704,2.576721668243408,2.5502424240112305,1.1991556882858276
splice,14,704,2.754429340362549,2.755298376083374,1.261808156967163
splice,15,704,2.917447090148926,2.944031238555908,1.304957389831543
splice,16,704,3.1797735691070557,3.209129810333252,1.4108355045318604
splice,17,704,3.464400291442871,3.4679274559020996,1.540587067604065
splice,18,704,3.6637330055236816,3.658731460571289,1.6142503023147583
splice,19,704,3.898383140563965,3.9134769439697266,1.6830161809921265
splice,20,704,4.258840084075928,4.282642364501953,1.7635189294815063
splice,21,704,4.787449836730957,4.800238609313965,1.882606863975525
splice,22,704,5.322355270385742,5.359609603881836,1.9762340784072876
splice,23,704,6.2278361320495605,6.292423248291016,2.4033217430114746
splice,24,704,8.396315574645996,8.132930755615234,3.5952887535095215
splice,25,704,13.61228084564209,13.349781036376953,4.181559085845947
splice,26,704,19.312835693359375,18.924612045288086,5.101738929748535
splice,27,704,36.17755126953125,36.56620788574219,7.423269271850586
splice,28,704,7036.228515625,5490.09765625,4004.28759765625
splice,29,704,7094174.5,7355878.0,3738028.0
splice,30,704,1905734451200.0,1856904101888.0,1081712902144.0
splice,31,704,1905734451200.0,1856904101888.0,1081712902144.0
nonsense,0,1236,0.16242223978042603,0.1638452708721161,0.013487000949680805
nonsense,1,1236,0.18673400580883026,0.1907934695482254,0.01917879283428192
nonsense,2,1236,0.219582661986351,0.2120334804058075,0.05440398305654526
nonsense,3,1236,0.25068673491477966,0.24300551414489746,0.05767730996012688
nonsense,4,1236,0.3902742564678192,0.373065710067749,0.12941564619541168
nonsense,5,1236,0.5397540330886841,0.5168187618255615,0.18876828253269196
nonsense,6,1236,0.9212211966514587,0.8464279174804688,0.4100051820278168
nonsense,7,1236,1.3874387741088867,1.354647159576416,0.6618688106536865
nonsense,8,1236,1.6082143783569336,1.5660462379455566,0.7728806138038635
nonsense,9,1236,1.9237414598464966,1.8775196075439453,0.8819015622138977
nonsense,10,1236,2.2605152130126953,2.222531795501709,1.0735841989517212
nonsense,11,1236,2.6378464698791504,2.6534066200256348,1.2749863862991333
nonsense,12,1236,2.838843822479248,2.8290648460388184,1.3794828653335571
nonsense,13,1236,3.074816942214966,3.0862040519714355,1.5173964500427246
nonsense,14,1236,3.244004011154175,3.2647929191589355,1.5908461809158325
nonsense,15,1236,3.3952178955078125,3.421994686126709,1.637234091758728
nonsense,16,1236,3.5562219619750977,3.581139087677002,1.706377625465393
nonsense,17,1236,3.7463924884796143,3.777116298675537,1.790974497795105
nonsense,18,1236,3.8902835845947266,3.9424045085906982,1.8383365869522095
nonsense,19,1236,4.083647727966309,4.1369524002075195,1.8790663480758667
nonsense,20,1236,4.3559675216674805,4.462233543395996,1.9288123846054077
nonsense,21,1236,4.732213973999023,4.820335388183594,2.058037042617798
nonsense,22,1236,5.256491661071777,5.342461585998535,2.1855921745300293
nonsense,23,1236,5.849170207977295,5.950169563293457,2.5217695236206055
nonsense,24,1236,7.08015251159668,7.137514114379883,2.847445249557495
nonsense,25,1236,10.818614959716797,10.86595344543457,3.629610300064087
nonsense,26,1236,16.07219696044922,16.102825164794922,4.616766929626465
nonsense,27,1236,31.45534324645996,30.98431968688965,6.859422206878662
nonsense,28,1236,7132.90869140625,6775.7265625,2418.897216796875
nonsense,29,1236,8698446.0,8554360.0,3504222.5
nonsense,30,1236,2267715993600.0,1957876334592.0,1470202118144.0
nonsense,31,1236,2267715993600.0,1957876334592.0,1470202118144.0
5utr,0,790,0.15382298827171326,0.15314219892024994,0.01432128343731165
5utr,1,790,0.1738312542438507,0.16989120841026306,0.01701616495847702
5utr,2,790,0.19809280335903168,0.19315752387046814,0.025177229195833206
5utr,3,790,0.21762274205684662,0.21027925610542297,0.041399791836738586
5utr,4,790,0.3012372851371765,0.28179454803466797,0.0925237387418747
5utr,5,790,0.3711131513118744,0.3393910825252533,0.13567550480365753
5utr,6,790,0.5311150550842285,0.4522637724876404,0.2677510380744934
5utr,7,790,0.7192137241363525,0.5628335475921631,0.44772249460220337
5utr,8,790,0.8220916390419006,0.6366051435470581,0.5287150144577026
5utr,9,790,1.021114706993103,0.807614803314209,0.6463191509246826
5utr,10,790,1.1982554197311401,0.9055993556976318,0.8130574822425842
5utr,11,790,1.4150171279907227,0.9850168824195862,1.0305798053741455
5utr,12,790,1.5257543325424194,1.0679593086242676,1.1289522647857666
5utr,13,790,1.7205451726913452,1.1297037601470947,1.323615312576294
5utr,14,790,1.9031507968902588,1.1972501277923584,1.5180391073226929
5utr,15,790,2.0209991931915283,1.2963881492614746,1.6043847799301147
5utr,16,790,2.167738676071167,1.362177848815918,1.7400109767913818
5utr,17,790,2.3214640617370605,1.4408727884292603,1.888216257095337
5utr,18,790,2.460010290145874,1.5064191818237305,2.0138051509857178
5utr,19,790,2.6212096214294434,1.6530113220214844,2.105496644973755
5utr,20,790,2.9148082733154297,1.8625266551971436,2.203458070755005
5utr,21,790,3.2611958980560303,2.1506755352020264,2.327702283859253
5utr,22,790,3.685269594192505,2.60085129737854,2.4213807582855225
5utr,23,790,4.032836437225342,2.886901378631592,2.7862789630889893
5utr,24,790,5.0664849281311035,3.957651138305664,3.228372573852539
5utr,25,790,8.101922988891602,7.147280693054199,4.164356231689453
5utr,26,790,12.008124351501465,11.304008483886719,5.211463451385498
5utr,27,790,22.905038833618164,22.09285545349121,9.520393371582031
5utr,28,790,5287.8544921875,4110.2705078125,3859.803466796875
5utr,29,790,3974358.5,2796945.0,3266776.5
5utr,30,790,1125628641280.0,736318717952.0,1052696838144.0
5utr,31,790,1125628641280.0,736318717952.0,1052696838144.0
3utr,0,148,0.1518041491508484,0.1493101567029953,0.014842809177935123
3utr,1,148,0.17293961346149445,0.1681758612394333,0.01945946365594864
3utr,2,148,0.19608238339424133,0.19296035170555115,0.028334669768810272
