consequence,layer,AUROC,n_pos,n_neg
3utr,17,0.871900826446281,16,121
3utr,18,0.862603305785124,16,121
3utr,19,0.8589876033057852,16,121
3utr,20,0.8527892561983472,16,121
3utr,21,0.8414256198347108,16,121
3utr,22,0.8372933884297521,16,121
3utr,23,0.8341942148760331,16,121
3utr,24,0.8130165289256198,16,121
3utr,25,0.8145661157024794,16,121
3utr,26,0.8522727272727273,16,121
3utr,27,0.8842975206611571,16,121
3utr,28,0.8264462809917356,16,121
3utr,29,0.8269628099173554,16,121
3utr,30,0.8104338842975206,16,121
3utr,31,0.8104338842975206,16,121
noncoding,0,0.655392670157068,150,191
noncoding,1,0.7117801047120419,150,191
noncoding,2,0.7722513089005234,150,191
noncoding,3,0.7806282722513089,150,191
noncoding,4,0.8337870855148343,150,191
noncoding,5,0.8734729493891796,150,191
noncoding,6,0.8865270506108203,150,191
noncoding,7,0.8882722513089005,150,191
noncoding,8,0.8893542757417103,150,191
noncoding,9,0.8876788830715533,150,191
noncoding,10,0.8849912739965097,150,191
noncoding,11,0.8795462478184992,150,191
noncoding,12,0.8783944153577662,150,191
noncoding,13,0.8716230366492146,150,191
noncoding,14,0.866282722513089,150,191
noncoding,15,0.8640488656195463,150,191
noncoding,16,0.8599301919720769,150,191
noncoding,17,0.8578010471204188,150,191
noncoding,18,0.8549738219895288,150,191
noncoding,19,0.8538568935427575,150,191
noncoding,20,0.8482722513089005,150,191
noncoding,21,0.8470157068062827,150,191
noncoding,22,0.8489005235602094,150,191
noncoding,23,0.8554973821989529,150,191
noncoding,24,0.8535078534031413,150,191
noncoding,25,0.8633158813263525,150,191
noncoding,26,0.8791623036649215,150,191
noncoding,27,0.9057940663176265,150,191
noncoding,28,0.8789877835951134,150,191
noncoding,29,0.8310994764397907,150,191
noncoding,30,0.820977312390925,150,191
noncoding,31,0.820977312390925,150,191
