layer,PC,context,n,mean,std,ci_low,ci_high
10,5,intron,8000,-0.03945299610495567,0.6946454048156738,-0.0552967494353652,-0.023298043711110945
11,1,intron,8000,2.318197250366211,12.193346977233887,2.0790654957294463,2.587576615810394
11,2,intron,8000,0.00728261936455965,1.4812604188919067,-0.023564221942797302,0.040649777837097646
11,3,intron,8000,-0.0268495362251997,0.6418124437332153,-0.04143142830580473,-0.01498734077904373
11,4,intron,8000,-0.03404403477907181,0.6497476100921631,-0.04644761178642511,-0.020354886539280408
11,5,intron,8000,-0.04565860331058502,0.6231984496116638,-0.05971478084102273,-0.032840945199131964
12,1,intron,8000,2.5404751300811768,12.044711112976074,2.306327700614929,2.7973884284496306
12,2,intron,8000,0.010566280223429203,1.588631510734558,-0.030747564043849707,0.03972408222034574
12,3,intron,8000,-0.02790265716612339,0.716438353061676,-0.041608456149697305,-0.011383531708270311
12,4,intron,8000,-0.036932945251464844,0.7216981649398804,-0.051431352458894256,-0.018713250197470187
12,5,intron,8000,-0.037459563463926315,0.6397027373313904,-0.04966827128082514,-0.024832496326416726
13,1,intron,8000,2.87772536277771,14.866752624511719,2.503865498304367,3.1975516080856323
13,2,intron,8000,0.0030892915092408657,1.4294378757476807,-0.02510357517749071,0.03624419039115311
13,3,intron,8000,-0.039827801287174225,0.7138523459434509,-0.05660914909094572,-0.023209963412955403
13,4,intron,8000,-0.04394614323973656,0.6626787781715393,-0.058319188095629214,-0.0317685536108911
13,5,intron,8000,-0.010301213711500168,0.6007185578346252,-0.02411988852545619,0.002461465541273357
14,1,intron,8000,2.691166877746582,13.320507049560547,2.3787981629371644,2.9986532032489777
14,2,intron,8000,0.002179906005039811,1.2921462059020996,-0.025526092341169714,0.029766411473974613
14,3,intron,8000,-0.039314016699790955,0.6405988335609436,-0.052577038295567036,-0.026683366904035204
14,4,intron,8000,-0.04010099917650223,0.5796855092048645,-0.052842156123369934,-0.026360096922144294
14,5,intron,8000,-0.009602890349924564,0.5470704436302185,-0.02062334013171494,0.0011990849016001452
15,1,intron,8000,2.681666612625122,13.830826759338379,2.2981066524982454,2.988011360168457
15,2,intron,8000,0.0037951774429529905,1.4042247533798218,-0.02565737864933908,0.030660782475024462
15,3,intron,8000,-0.03999542072415352,0.7120872735977173,-0.053053438663482666,-0.024258430302143096
15,4,intron,8000,-0.04071953520178795,0.6651591062545776,-0.05493292259052396,-0.027916280599310977
15,5,intron,8000,-0.013106734491884708,0.5814234614372253,-0.02710174913518131,0.0006873658145195817
16,1,intron,8000,1.7598258256912231,12.951150894165039,1.5175115078687669,2.0343232095241546
16,2,intron,8000,0.0020609626080840826,1.319648027420044,-0.026562048587948084,0.03315807348117235
16,3,intron,8000,-0.02637912705540657,0.703561007976532,-0.04313945965841413,-0.011378089850768444
16,4,intron,8000,-0.028169745579361916,0.6668258905410767,-0.045275815017521384,-0.014991845726035532
16,5,intron,8000,-0.0037351869978010654,0.5924895405769348,-0.01652126875706017,0.0091954842209816
17,1,intron,8000,2.32043194770813,14.621256828308105,1.9890489429235458,2.6519538640975955
17,2,intron,8000,-0.001216968521475792,1.186102032661438,-0.029359330749139188,0.02303433706983924
17,3,intron,8000,-0.03783513605594635,0.666370153427124,-0.0548127181828022,-0.024460186483338475
17,4,intron,8000,-0.04259797930717468,0.6248025894165039,-0.053569489438086745,-0.028262510662898418
17,5,intron,8000,0.0034645581617951393,0.5397937297821045,-0.00825623671989888,0.014491969998925927
18,1,intron,8000,1.9061815738677979,13.986998558044434,1.6090320646762848,2.166732943058014
18,2,intron,8000,-0.0009341888362541795,1.0407335758209229,-0.023035695450380443,0.01990632866509259
18,3,intron,8000,-0.031734805554151535,0.6120331287384033,-0.04348189244046807,-0.020004781754687426
18,4,intron,8000,-0.030638908967375755,0.5518619418144226,-0.041594524215906856,-0.0181532555259764
18,5,intron,8000,-0.008168009109795094,0.4807237684726715,-0.018744148313999176,0.0003771196672460065
19,1,intron,8000,2.0202085971832275,15.897443771362305,1.6077520102262497,2.332464098930359
19,2,intron,8000,0.0002568140043877065,1.124609112739563,-0.02202830030582845,0.027935075853019957
19,3,intron,8000,-0.0352490209043026,0.705272376537323,-0.05071693044155836,-0.018875247379764905
19,4,intron,8000,-0.03346860408782959,0.6044368743896484,-0.0467117209918797,-0.019100003922358152
19,5,intron,8000,-0.012264864519238472,0.6040792465209961,-0.025241230288520454,-0.00011440740636316896
20,1,intron,8000,2.020293712615967,17.153657913208008,1.597498881816864,2.364587712287903
20,2,intron,8000,-0.003575241193175316,1.1112481355667114,-0.026658578030765056,0.021814515395089985
20,3,intron,8000,-0.03702680021524429,0.6900829672813416,-0.053022637683898206,-0.021911137970164404
