layer,PC,spearman_r,p,n
3,5,0.03551026207519832,3.2965446233107207e-18,60000
4,5,-0.001555526694025296,0.7031906634138934,60000
5,5,0.006062136267762086,0.13757117254910137,60000
6,5,0.025308107653861177,5.644205841956616e-10,60000
7,5,-0.016798509328172215,3.872092439953927e-05,60000
8,5,-0.011848869994608947,0.0037030359144848393,60000
9,5,0.047993252167069095,6.095374963415718e-32,60000
10,5,-0.07820365224424357,4.9498138767207617e-82,60000
11,5,-0.07671346742987874,5.354609150842065e-79,60000
12,5,-0.07898854438726476,1.182642067340495e-83,60000
13,5,-0.0671422982296124,6.58151913584028e-61,60000
14,5,-0.06987679243070186,7.881847818856033e-66,60000
15,5,-0.06826817504346532,6.542695238591011e-63,60000
16,5,-0.05571339872112792,1.8272302052987235e-42,60000
17,5,-0.062199937770047495,1.6397782702545316e-52,60000
18,5,-0.06550384328703764,4.709899487370942e-58,60000
19,5,-0.059175667527545425,1.0871736062797309e-47,60000
20,5,-0.05947003290031935,3.78039837396982e-48,60000
21,5,-0.05600900932895004,6.728090563964806e-43,60000
22,5,-0.05791724297669564,9.373846325772935e-46,60000
23,5,-0.08117413376167126,2.958214333263328e-88,60000
24,5,-0.08942019781293567,9.270394603791479e-107,60000
25,5,-0.07157165313465699,5.587476193129387e-69,60000
26,5,-0.07176610969364801,2.404527765647594e-69,60000
27,5,-0.04604460704069332,1.5683376385959632e-29,60000
28,5,0.005720214034441081,0.16117136578183025,60000
29,5,0.021885862580660796,8.255656749876237e-08,60000
30,5,0.003763271007853423,0.3566363338197457,60000
31,5,0.003763271007853423,0.3566363338197457,60000
