layer,class_id,class_name,f1,AUROC_ovr
8,1,intron,0.4724233983286908,0.7632073643410853
8,2,coding_exon,0.5298013245033113,0.7967561369509044
8,3,5utr,0.6199261992619927,0.9177129979750768
8,4,3utr,0.6019007391763463,0.8660985142118862
8,5,splice_donor,0.47840531561461797,0.9223798194795053
8,6,splice_acceptor,0.40131578947368424,0.8979231459330145
9,0,intergenic,0.47194719471947194,0.7754622093023256
9,1,intron,0.4460674157303371,0.7581330749354005
9,2,coding_exon,0.5180655919955531,0.7861892764857881
9,3,5utr,0.5984848484848485,0.9202145160626977
9,4,3utr,0.5842105263157895,0.8646033591731266
9,5,splice_donor,0.5360824742268041,0.928047569753434
9,6,splice_acceptor,0.44666666666666666,0.8914503588516747
10,0,intergenic,0.5573407202216066,0.8490988372093022
10,1,intron,0.5371104815864023,0.832668604651163
10,2,coding_exon,0.6043715846994535,0.8484780361757105
10,3,5utr,0.7101449275362319,0.9589578056315607
10,4,3utr,0.7196162046908315,0.9289124677002585
10,5,splice_donor,0.4731182795698925,0.9400671352208683
10,6,splice_acceptor,0.39057239057239057,0.909367523923445
11,0,intergenic,0.5426105717367853,0.8320297157622738
11,1,intron,0.5366120218579234,0.8144825581395349
11,2,coding_exon,0.5748434832100171,0.8307487080103358
11,3,5utr,0.6740196078431373,0.9537721150891861
11,4,3utr,0.6861156131820637,0.9143281653746771
11,5,splice_donor,0.4942084942084942,0.9326180920037049
11,6,splice_acceptor,0.41533546325878595,0.9020783492822966
12,0,intergenic,0.5339028296849974,0.8298301033591732
12,1,intron,0.5204081632653061,0.8148016795865634
12,2,coding_exon,0.562396006655574,0.8269544573643411
12,3,5utr,0.6785260482846251,0.9525757894660445
12,4,3utr,0.692101020956475,0.9152416020671836
12,5,splice_donor,0.5034013605442177,0.9410811252565243
12,6,splice_acceptor,0.3624161073825503,0.9034494617224882
13,0,intergenic,0.5529603476371537,0.8314932170542636
13,1,intron,0.5291181364392679,0.8046841085271319
13,2,coding_exon,0.5734806629834254,0.8246631136950904
13,3,5utr,0.7105590062111802,0.9578231712185102
13,4,3utr,0.6920565832426551,0.9151737726098192
13,5,splice_donor,0.48175182481751827,0.9320142382362022
13,6,splice_acceptor,0.37540453074433655,0.910311004784689
14,0,intergenic,0.5200868621064061,0.8232722868217053
14,1,intron,0.5089527943570266,0.7965093669250647
14,2,coding_exon,0.5436353529738743,0.8166476098191214
14,3,5utr,0.6691635455680399,0.9516147371833488
14,4,3utr,0.6743674367436744,0.9045484496124031
14,5,splice_donor,0.49454545454545457,0.9372279631210311
14,6,splice_acceptor,0.36423841059602646,0.9178902511961723
15,0,intergenic,0.5142857142857142,0.8204977390180879
15,1,intron,0.512114537444934,0.7985872093023255
15,2,coding_exon,0.576271186440678,0.8176188630490956
15,3,5utr,0.7012345679012346,0.957755431850567
15,4,3utr,0.6713896457765668,0.9035287467700258
15,5,splice_donor,0.5166051660516605,0.9318734903655813
15,6,splice_acceptor,0.3879598662207358,0.9167703349282297
16,0,intergenic,0.5179240235420011,0.8178937338501292
16,1,intron,0.5069175428887659,0.790188953488372
16,2,coding_exon,0.5664610207515424,0.8179932170542636
16,3,5utr,0.7281553398058253,0.9598317644411866
16,4,3utr,0.6688741721854304,0.901125322997416
16,5,splice_donor,0.4697508896797153,0.924102089122157
16,6,splice_acceptor,0.39473684210526316,0.9151764354066986
17,0,intergenic,0.5778756191524491,0.8587312661498708
17,1,intron,0.5696902654867256,0.8405797803617572
17,2,coding_exon,0.6188925081433225,0.8582277131782946
17,3,5utr,0.7503136762860728,0.9648172609586573
17,4,3utr,0.7395776935571197,0.9352713178294573
17,5,splice_donor,0.49324324324324326,0.9422282960729831
17,6,splice_acceptor,0.3663003663003663,0.9244602272727274
18,0,intergenic,0.5669033315128346,0.8498620801033592
18,1,intron,0.5434298440979956,0.8327871447028423
18,2,coding_exon,0.6086956521739131,0.8568414082687338
18,3,5utr,0.711864406779661,0.9586814048177207
18,4,3utr,0.7279651795429815,0.9305306847545218
18,5,splice_donor,0.4748201438848921,0.9427958278093578
18,6,splice_acceptor,0.4013605442176871,0.9136408492822965
19,0,intergenic,0.5567238516878804,0.8459431524547802
19,1,intron,0.5445544554455446,0.8317222222222223
19,2,coding_exon,0.6067538126361656,0.8519428294573642
19,3,5utr,0.7337423312883435,0.9603609782532436
19,4,3utr,0.7154471544715447,0.9284760981912145
19,5,splice_donor,0.505338078291815,0.9390047158103748
19,6,splice_acceptor,0.4028776978417266,0.9138232655502392
20,0,intergenic,0.5595505617977528,0.8438491602067184
20,1,intron,0.5601355166572558,0.8324312015503876
20,2,coding_exon,0.6085544125609096,0.8511447028423773
20,3,5utr,0.748780487804878,0.9529652908317185
20,4,3utr,0.7120475418692599,0.9272596899224806
20,5,splice_donor,0.4742268041237113,0.9431302931793278
20,6,splice_acceptor,0.45,0.9250224282296651
21,0,intergenic,0.5511208310552215,0.8375633074935401
21,1,intron,0.5427423981640849,0.8356023901808787
21,2,coding_exon,0.61742006615215,0.8538262273901809
21,3,5utr,0.7337579617834394,0.9531824196986083
21,4,3utr,0.7180823345492444,0.9296472868217055
21,5,splice_donor,0.5242718446601942,0.9480549552330967
21,6,splice_acceptor,0.4555160142348754,0.930611543062201
22,0,intergenic,0.5655021834061136,0.8440025839793284
22,1,intron,0.5683856502242153,0.8402222222222221
22,2,coding_exon,0.6215182960131076,0.8602335271317829
22,3,5utr,0.707808564231738,0.9547936489504025
22,4,3utr,0.7226980728051392,0.9322151162790698
22,5,splice_donor,0.5390070921985816,0.9478642645696749
22,6,splice_acceptor,0.5190311418685121,0.9272488038277512
