layer,metric,PC,spearman_r,p,n
22,M1_dir_refA,2,0.06443391784392039,3.15531885036092e-56,60000
22,M1_dir_refA,3,-0.013012796190911821,0.0014348879883515108,60000
22,M1_dir_refA,4,-0.05300056398401188,1.3708913947784143e-38,60000
22,M1_dir_refA,5,0.06426684478845464,6.046012734099891e-56,60000
23,M1_dir_refA,1,-0.42005468642827876,0.0,60000
23,M1_dir_refA,2,0.05879431327972007,4.2388997060691345e-47,60000
23,M1_dir_refA,3,-0.05143760382064756,1.9156915271522904e-36,60000
23,M1_dir_refA,4,-0.11139798639454039,5.995158145953152e-165,60000
23,M1_dir_refA,5,0.12463391466379814,2.820673947969325e-206,60000
24,M1_dir_refA,1,-0.393185954458001,0.0,60000
24,M1_dir_refA,2,0.02197947019269359,7.269199291637768e-08,60000
24,M1_dir_refA,3,-0.04880418808396212,5.658979631258147e-33,60000
24,M1_dir_refA,4,-0.11134131563647164,8.801189801716106e-165,60000
24,M1_dir_refA,5,0.21640696281365412,0.0,60000
25,M1_dir_refA,1,-0.358793665379041,0.0,60000
25,M1_dir_refA,2,0.018637249954111604,4.983606862870116e-06,60000
25,M1_dir_refA,3,-0.015957934814638985,9.266085523674364e-05,60000
25,M1_dir_refA,4,-0.08194478518219804,6.579711500845848e-90,60000
25,M1_dir_refA,5,0.2224106384156997,0.0,60000
26,M1_dir_refA,1,-0.37847871936181393,0.0,60000
26,M1_dir_refA,2,0.014973898631007187,0.0002444835591387444,60000
26,M1_dir_refA,3,-0.0034024737415104768,0.40460930744283885,60000
26,M1_dir_refA,4,0.005132143772586398,0.2087190779812944,60000
26,M1_dir_refA,5,0.19600620857670975,0.0,60000
27,M1_dir_refA,1,0.22038036270422584,0.0,60000
27,M1_dir_refA,2,0.014539675541210866,0.0003686119762394494,60000
27,M1_dir_refA,3,-0.07149040888985415,7.941696441292508e-69,60000
27,M1_dir_refA,4,-0.03215811674491595,3.3008750715518422e-15,60000
27,M1_dir_refA,5,0.2644825589314807,0.0,60000
28,M1_dir_refA,1,0.04591236675444892,2.266919517135882e-29,60000
28,M1_dir_refA,2,-0.18859525795965035,0.0,60000
28,M1_dir_refA,3,-0.016854867621169882,3.6467762737199994e-05,60000
28,M1_dir_refA,4,-0.17225523915642285,0.0,60000
28,M1_dir_refA,5,0.14608013870631092,2.0909997848626123e-283,60000
29,M1_dir_refA,1,-0.25553336899416734,0.0,60000
29,M1_dir_refA,2,0.29199842096443335,0.0,60000
29,M1_dir_refA,3,0.12294253925242592,9.925483224246678e-201,60000
29,M1_dir_refA,4,0.04379433739114691,7.178415211584074e-27,60000
29,M1_dir_refA,5,-0.0795890682983405,6.622804585950763e-85,60000
30,M1_dir_refA,1,-0.12854316617401843,2.1492282942203286e-219,60000
30,M1_dir_refA,2,0.02881853226594007,1.660369680443497e-12,60000
30,M1_dir_refA,3,0.1014545438152573,5.12076833957595e-137,60000
30,M1_dir_refA,4,-0.09356463155731312,9.632140576883746e-117,60000
30,M1_dir_refA,5,-0.06490501748388604,4.997237726822916e-57,60000
31,M1_dir_refA,1,-0.12854316617401843,2.1492282942203286e-219,60000
31,M1_dir_refA,2,0.02881853226594007,1.660369680443497e-12,60000
31,M1_dir_refA,3,0.1014545438152573,5.12076833957595e-137,60000
31,M1_dir_refA,4,-0.09356463155731312,9.632140576883746e-117,60000
31,M1_dir_refA,5,-0.06490501748388604,4.997237726822916e-57,60000
0,M1_dir_refB,1,-0.0374959286816928,4.0159685442256255e-20,60000
0,M1_dir_refB,2,0.03704392975667016,1.1181512415078145e-19,60000
0,M1_dir_refB,3,-0.00018174261744964646,0.9644925081084827,60000
0,M1_dir_refB,4,0.06965124514439011,2.0418973621517183e-65,60000
0,M1_dir_refB,5,-0.07877338378047807,3.3039890336339985e-83,60000
1,M1_dir_refB,1,-0.03836878679463559,5.3708485225296476e-21,60000
1,M1_dir_refB,2,0.010135185125986209,0.013042187584598205,60000
1,M1_dir_refB,3,-0.006314167280076281,0.12195201067441967,60000
1,M1_dir_refB,4,0.07053986986214936,4.715282894115443e-67,60000
1,M1_dir_refB,5,-0.08578691307984009,2.201850714302254e-98,60000
2,M1_dir_refB,1,-0.04614095125657905,1.1983586673520989e-29,60000
2,M1_dir_refB,2,-0.018285885560496314,7.485662577703685e-06,60000
2,M1_dir_refB,3,-0.027085077246319693,3.2331471519678484e-11,60000
2,M1_dir_refB,4,0.077797499402693,3.3680196950839394e-81,60000
2,M1_dir_refB,5,-0.10311029112884514,1.7492462038475848e-141,60000
3,M1_dir_refB,1,-0.11987660355553256,7.112992994947573e-191,60000
3,M1_dir_refB,2,0.03708037025556792,1.0300150333271988e-19,60000
3,M1_dir_refB,3,-0.02479975040761257,1.236164751364645e-09,60000
3,M1_dir_refB,4,0.06499024152739749,3.575416232716706e-57,60000
3,M1_dir_refB,5,-0.07289638741160655,1.7093197778610764e-71,60000
4,M1_dir_refB,1,-0.17664752912002385,0.0,60000
4,M1_dir_refB,2,0.03255992077771383,1.493655855223454e-15,60000
4,M1_dir_refB,3,-0.1001573486871125,1.4361645805137816e-133,60000
4,M1_dir_refB,4,0.09902093124412306,1.3824820127946318e-130,60000
4,M1_dir_refB,5,-0.27563622944668287,0.0,60000
5,M1_dir_refB,1,-0.024490489915405877,1.9768826008011864e-09,60000
5,M1_dir_refB,2,0.052043301874396444,2.8741829434986505e-37,60000
5,M1_dir_refB,3,-0.11892407745387129,7.2754523571488e-188,60000
5,M1_dir_refB,4,0.09267059741238556,1.4999887696134773e-114,60000
5,M1_dir_refB,5,-0.42361511912628713,0.0,60000
6,M1_dir_refB,1,-0.2808489050338837,0.0,60000
6,M1_dir_refB,2,0.06680147237660099,2.617977414538091e-60,60000
6,M1_dir_refB,3,-0.03714929260403898,8.816763510866407e-20,60000
6,M1_dir_refB,4,0.0028954246556989567,0.4781891987626614,60000
6,M1_dir_refB,5,-0.2526979632937023,0.0,60000
7,M1_dir_refB,1,-0.2880223714194345,0.0,60000
7,M1_dir_refB,2,0.0806476647306776,3.900311216583313e-87,60000
7,M1_dir_refB,3,-0.029900643908466834,2.3780158681917897e-13,60000
7,M1_dir_refB,4,-0.03781804094418231,1.9215247777944e-20,60000
7,M1_dir_refB,5,-0.05683761138541993,3.9762006915457385e-44,60000
8,M1_dir_refB,1,-0.17554561868004592,0.0,60000
8,M1_dir_refB,2,0.06332461761788426,2.2935545193143195e-54,60000
8,M1_dir_refB,3,-0.1355487832179098,5.984504894105923e-244,60000
8,M1_dir_refB,4,-0.020088870775611074,8.604052732956808e-07,60000
8,M1_dir_refB,5,-0.3152387487576284,0.0,60000
9,M1_dir_refB,1,-0.27316287399063555,0.0,60000
9,M1_dir_refB,2,0.04818616185983489,3.4753138481098706e-32,60000
9,M1_dir_refB,3,-0.09923259298918317,3.8690405386479535e-131,60000
9,M1_dir_refB,4,0.003625433446374739,0.37452428023822715,60000
9,M1_dir_refB,5,-0.2873178405315907,0.0,60000
10,M1_dir_refB,1,-0.5043217769239177,0.0,60000
10,M1_dir_refB,2,0.0180345345840718,9.970694565405705e-06,60000
10,M1_dir_refB,3,-0.11489695155651539,2.0640905892840698e-175,60000
10,M1_dir_refB,4,-0.08045012071485698,1.0220711889081774e-86,60000
10,M1_dir_refB,5,0.008176414734443091,0.04519917314726776,60000
11,M1_dir_refB,1,-0.49538116478784916,0.0,60000
11,M1_dir_refB,2,0.010823050098701341,0.008022594313742812,60000
11,M1_dir_refB,3,-0.08113245708066051,3.630488967422683e-88,60000
11,M1_dir_refB,4,-0.06044577396195979,1.098050845894193e-49,60000
11,M1_dir_refB,5,0.009995253450301068,0.014351726102898832,60000
12,M1_dir_refB,1,-0.4246954988820007,0.0,60000
12,M1_dir_refB,2,0.018928670669518637,3.5371231441247325e-06,60000
12,M1_dir_refB,3,-0.14197536552728673,1.158568211684601e-267,60000
12,M1_dir_refB,4,-0.08152414979408605,5.275933775538972e-89,60000
12,M1_dir_refB,5,-0.13432014608410142,1.5167988753316404e-239,60000
