layer,pair,n_per_class,AUROC
3,splice_acceptor_vs_intron,533,0.9389843750000001
4,splice_acceptor_vs_intron,533,0.9359765625
5,splice_acceptor_vs_intron,533,0.9466406249999999
6,splice_acceptor_vs_intron,533,0.9498437499999999
7,splice_acceptor_vs_intron,533,0.9444921875
8,splice_acceptor_vs_intron,533,0.9432031249999999
9,splice_acceptor_vs_intron,533,0.9451953125
10,splice_acceptor_vs_intron,533,0.9480078125000001
11,splice_acceptor_vs_intron,533,0.94515625
12,splice_acceptor_vs_intron,533,0.94296875
13,splice_acceptor_vs_intron,533,0.9555078125
14,splice_acceptor_vs_intron,533,0.9528515625
15,splice_acceptor_vs_intron,533,0.9538671875
16,splice_acceptor_vs_intron,533,0.9566796875
17,splice_acceptor_vs_intron,533,0.96140625
18,splice_acceptor_vs_intron,533,0.958125
19,splice_acceptor_vs_intron,533,0.954140625
20,splice_acceptor_vs_intron,533,0.953984375
21,splice_acceptor_vs_intron,533,0.9528125000000001
22,splice_acceptor_vs_intron,533,0.9594140624999999
23,splice_acceptor_vs_intron,533,0.9701171875
24,splice_acceptor_vs_intron,533,0.971328125
25,splice_acceptor_vs_intron,533,0.9652734375
26,splice_acceptor_vs_intron,533,0.9641015625
27,splice_acceptor_vs_intron,533,0.9570703125
28,splice_acceptor_vs_intron,533,0.923203125
29,splice_acceptor_vs_intron,533,0.7865624999999998
30,splice_acceptor_vs_intron,533,0.7887890625
31,splice_acceptor_vs_intron,533,0.7887890625
