cluster,layer,mean_dh_norm_2,mean_delta_cos,n
10,2,0.19944773614406586,0.21523109078407288,52
10,3,0.23433685302734375,0.3388906717300415,52
10,4,0.33473336696624756,0.2630169093608856,52
10,5,0.4099445044994354,0.26861101388931274,52
10,6,0.6913288831710815,0.31772321462631226,52
10,7,0.9517359137535095,0.19068557024002075,52
10,8,1.0861341953277588,0.21788142621517181,52
10,9,1.4239434003829956,0.17358162999153137,52
10,10,1.883705735206604,0.21940261125564575,52
10,11,2.463860511779785,0.24051372706890106,52
10,12,2.731919288635254,0.27644699811935425,52
10,13,3.362555980682373,0.31094124913215637,52
10,14,3.989750862121582,0.31731706857681274,52
10,15,4.260279655456543,0.3493135869503021,52
10,16,4.645239353179932,0.3183523416519165,52
10,17,5.0614166259765625,0.3455364406108856,52
10,18,5.4665141105651855,0.32875412702560425,52
10,19,5.805185317993164,0.36655837297439575,52
10,20,6.300915718078613,0.37700945138931274,52
10,21,6.838394641876221,0.3539053201675415,52
10,22,7.413475036621094,0.40127798914909363,52
10,23,8.230660438537598,0.36682599782943726,52
10,24,9.655946731567383,0.33166033029556274,52
10,25,12.594258308410645,0.3235614597797394,52
10,26,16.30937957763672,0.3871530294418335,52
10,27,25.91774559020996,0.4686067998409271,52
10,28,4743.09130859375,0.16553790867328644,52
10,29,4039969.0,0.04615912213921547,52
10,30,1093359042560.0,0.00881100632250309,52
10,31,1093359042560.0,0.00881100632250309,52
11,0,0.16682618856430054,0.6191990375518799,1028
11,1,0.19008217751979828,0.3830650746822357,1028
11,2,0.21144630014896393,0.2528388500213623,1028
11,3,0.24027003347873688,0.4015404284000397,1028
11,4,0.35254380106925964,0.3319603502750397,1028
11,5,0.48725324869155884,0.23449119925498962,1028
11,6,0.7582743167877197,0.23809291422367096,1028
11,7,1.2076938152313232,0.16808076202869415,1028
11,8,1.3891117572784424,0.15282320976257324,1028
11,9,1.650931477546692,0.11846411973237991,1028
11,10,1.8814910650253296,0.12705497443675995,1028
11,11,2.2078471183776855,0.11725664138793945,1028
11,12,2.348297119140625,0.11890114843845367,1028
11,13,2.518669366836548,0.11397643387317657,1028
11,14,2.6874825954437256,0.10927770286798477,1028
11,15,2.8229355812072754,0.11871425807476044,1028
11,16,2.959912061691284,0.10770263522863388,1028
11,17,3.1087582111358643,0.11626984924077988,1028
11,18,3.2640774250030518,0.10726609826087952,1028
11,19,3.4688515663146973,0.12111421674489975,1028
