stars,feature,layer,AUROC,n_pos,n_neg
3,delta_h_norm_2,12,0.7522946867545353,1498,1055
3,delta_h_norm_2,13,0.7419852061832838,1498,1055
3,delta_h_norm_2,14,0.7362790197356349,1498,1055
3,delta_h_norm_2,15,0.7323382203127077,1498,1055
3,delta_h_norm_2,16,0.7250767215687266,1498,1055
3,delta_h_norm_2,17,0.7177918108821241,1498,1055
3,delta_h_norm_2,18,0.7108169502464581,1498,1055
3,delta_h_norm_2,19,0.709673561589228,1498,1055
3,delta_h_norm_2,20,0.6967299210954258,1498,1055
3,delta_h_norm_2,21,0.6718215124114935,1498,1055
3,delta_h_norm_2,22,0.6702421554173337,1498,1055
3,delta_h_norm_2,23,0.6585222634919229,1498,1055
3,delta_h_norm_2,24,0.6274302545574193,1498,1055
3,delta_h_norm_2,25,0.6236758015426571,1498,1055
3,delta_h_norm_2,26,0.6657894570327577,1498,1055
3,delta_h_norm_2,27,0.6868013591581824,1498,1055
3,delta_h_norm_2,28,0.6764355633735976,1498,1055
3,delta_h_norm_2,29,0.7157277634001733,1498,1055
3,delta_h_norm_2,30,0.6748252013743442,1498,1055
3,delta_h_norm_2,31,0.6748252013743442,1498,1055
3,delta_h_norm_1,0,0.62563133150678,1498,1055
3,delta_h_norm_1,1,0.6766108365656578,1498,1055
3,delta_h_norm_1,2,0.649408690259999,1498,1055
3,delta_h_norm_1,3,0.6285726940818406,1498,1055
3,delta_h_norm_1,4,0.6633280392814432,1498,1055
3,delta_h_norm_1,5,0.7264308177095526,1498,1055
3,delta_h_norm_1,6,0.7394212820885984,1498,1055
3,delta_h_norm_1,7,0.7743284885376395,1498,1055
3,delta_h_norm_1,8,0.7769367054967445,1498,1055
3,delta_h_norm_1,9,0.7652041584672138,1498,1055
3,delta_h_norm_1,10,0.7571194452002354,1498,1055
3,delta_h_norm_1,11,0.7554527679876486,1498,1055
3,delta_h_norm_1,12,0.7521852201038983,1498,1055
3,delta_h_norm_1,13,0.7412746220869532,1498,1055
3,delta_h_norm_1,14,0.7352273805832739,1498,1055
3,delta_h_norm_1,15,0.7310758736767506,1498,1055
3,delta_h_norm_1,16,0.7232936173982372,1498,1055
3,delta_h_norm_1,17,0.7160726149874398,1498,1055
3,delta_h_norm_1,18,0.7085978777390392,1498,1055
3,delta_h_norm_1,19,0.706862230208999,1498,1055
3,delta_h_norm_1,20,0.6935072988313011,1498,1055
3,delta_h_norm_1,21,0.66808699118572,1498,1055
3,delta_h_norm_1,22,0.6665955871651934,1498,1055
3,delta_h_norm_1,23,0.6556438600598586,1498,1055
3,delta_h_norm_1,24,0.6240219186403356,1498,1055
3,delta_h_norm_1,25,0.6212067907288708,1498,1055
3,delta_h_norm_1,26,0.664128790994628,1498,1055
3,delta_h_norm_1,27,0.6850964002556331,1498,1055
3,delta_h_norm_1,28,0.6813647264282866,1498,1055
3,delta_h_norm_1,29,0.7161333594872152,1498,1055
3,delta_h_norm_1,30,0.6845759590987035,1498,1055
3,delta_h_norm_1,31,0.6845759590987035,1498,1055
3,delta_cos,0,0.6917248274160176,1498,1055
3,delta_cos,1,0.6657252323793494,1498,1055
3,delta_cos,2,0.6738175387087998,1498,1055
3,delta_cos,3,0.6817535545023696,1498,1055
3,delta_cos,4,0.7157081479887875,1498,1055
3,delta_cos,5,0.6729750251520195,1498,1055
3,delta_cos,6,0.7013107524092155,1498,1055
3,delta_cos,7,0.7363119230063464,1498,1055
3,delta_cos,8,0.7041651111434519,1498,1055
3,delta_cos,9,0.7123602401938762,1498,1055
3,delta_cos,10,0.723885559893444,1498,1055
3,delta_cos,11,0.724658470377565,1498,1055
3,delta_cos,12,0.7136883933712564,1498,1055
3,delta_cos,13,0.7158875340896868,1498,1055
3,delta_cos,14,0.7192360746398041,1498,1055
3,delta_cos,15,0.7120179196274338,1498,1055
3,delta_cos,16,0.7097425319066814,1498,1055
3,delta_cos,17,0.7237830535500731,1498,1055
3,delta_cos,18,0.7227019912806332,1498,1055
3,delta_cos,19,0.7220116553508943,1498,1055
3,delta_cos,20,0.7256335461500009,1498,1055
3,delta_cos,21,0.7162184650624213,1498,1055
3,delta_cos,22,0.7180480767405513,1498,1055
3,delta_cos,23,0.7159068331234695,1498,1055
3,delta_cos,24,0.7087041806136459,1498,1055
3,delta_cos,25,0.7033811274432261,1498,1055
3,delta_cos,26,0.729391479318396,1498,1055
3,delta_cos,27,0.7411901492669531,1498,1055
3,delta_cos,28,0.7853425420307646,1498,1055
3,delta_cos,29,0.7149595985800974,1498,1055
3,delta_cos,30,0.7660213618157543,1498,1055
3,delta_cos,31,0.7660213618157543,1498,1055
